BusID,bus_name,voltage,x,y,RegionName,color
1,GB1-220,220.0,-2.8957458,58.2568149,,red
2,GB10-275,275.0,-3.719714103,56.08813281,Devonside,green
3,GB11-275,275.0,-3.1796917,55.9246204,Whitehouse,red
4,GB12-275,275.0,-3.1786274,55.9031338,Kaimes,red
5,GB13-400,400.0,-2.93891761,55.88469412,Cockenzie,green
6,GB14-400,400.0,-4.5707774,55.8344676,Johnstone,red
7,GB15-275,275.0,-4.1161377,55.79148895,Clydeâ€™s Mill,red
8,GB16-400,400.0,-1.803404057,55.0152563,Stella South,green
9,GB17-275,275.0,-1.409093389,54.75666396,Hart Moor,red
10,GB18-400,400.0,-2.91670123,54.02987179,Heysham,red
11,GB19-220,220.0,-3.6660007,54.015637,,red
12,GB2-220,220.0,-2.8805172,58.2499453,,red
13,GB20-400,400.0,-2.755971765,54.01281882,Heysham,green
14,GB21-220,220.0,1.6306869,53.9394081,,red
15,GB22-400,400.0,-2.933961224,53.87556701,Stanah,green
16,GB23-275,275.0,-1.2972567,53.8695026,Ferrybridge (_F),red
17,GB24-220,220.0,1.6376833,53.766543,,red
18,GB25-400,400.0,-1.8053122,53.7437311,Bradford West,red
19,GB26-275,275.0,-1.831285551,53.72329819,Elland,red
20,GB27-400,400.0,-2.4534812,53.7101582,Padiham,red
21,GB28-275,275.0,-1.804010541,53.67674115,Skelton Grange,green
22,GB29-275,275.0,-2.0685211,53.6559798,Rochdale,red
23,GB3-220,220.0,-2.9011666,58.2463135,,red
24,GB30-400,400.0,-0.7254893,53.6436974,Keadby,green
25,GB31-400,400.0,-1.0692832,53.6366337,Ferrybridge (_F),red
26,GB32-400,400.0,-0.2943457,53.6272955,Grimsby West,green
27,GB33-400,400.0,-1.284845914,53.61097403,Ferrybridge (_M),red
28,GB34-400,400.0,-1.2528935,53.6096987,Ferrybridge (_M),red
29,GB35-400,400.0,-0.232903,53.5904792,Grimsby West,red
30,GB36-400,400.0,-1.6134812,53.4963483,West Melton,red
31,GB37-275,275.0,-1.2467417,53.444646,Thurcroft,red
32,GB38-220,220.0,0.8000813,53.4340319,,red
33,GB39-400,400.0,-0.817995162,53.41570495,Staythorpe,red
34,GB4-220,220.0,-2.7128938,58.096774,,red
35,GB40-275,275.0,-2.1051057,53.4041771,Bredbury,green
36,GB41-275,275.0,-1.4685122,53.3912009,Pitsmoor,red
