CS_ID,Capacity_kW,Station_Type,Bus_ID,Bus_Name,Voltage_kV
474932,44.0,Fast site,219,way/166764802-275,275.0
474931,44.0,Fast site,241,way/227767019-275,275.0
474408,,Unknown,124,way/102549055-275,275.0
474298,300.0,Rapid site,337,way/367005272-275,275.0
474297,1900.0,Ultra-rapid site,337,way/367005272-275,275.0
473101,5000.0,Ultra-rapid site,263,way/23299362-400,400.0
472908,22.0,Fast site,467,way/92737152-275,275.0
472220,200.0,Rapid site,198,way/148266260-275,275.0
471954,44.0,Fast site,242,way/227767022-275,275.0
471953,44.0,Fast site,241,way/227767019-275,275.0
471952,44.0,Fast site,241,way/227767019-275,275.0
471951,44.0,Fast site,241,way/227767019-275,275.0
471950,88.0,Fast site,241,way/227767019-275,275.0
471949,44.0,Fast site,241,way/227767019-275,275.0
471948,22.0,Fast site,241,way/227767019-275,275.0
471778,44.0,Fast site,332,way/339008021-275,275.0
471083,240.0,Rapid site,504,way/1093736519,400.0
471082,240.0,Rapid site,226,way/193617444-275,275.0
471038,235.51999999999998,Fast site,198,way/148266260-275,275.0
471030,7.0,Slow site,198,way/148266260-275,275.0
471029,240.0,Rapid site,219,way/166764802-275,275.0
471004,170.1,Rapid site,219,way/166764802-275,275.0
470899,,Unknown,520,way/1242456441,
470882,13.2,Slow site,128,way/103915328-275,275.0
470819,28.0,Slow site,212,way/16582436-400,400.0
470794,2000.0,Ultra-rapid site,196,way/143905069-400,400.0
470664,176.0,Fast site,342,way/402783212-275,275.0
470138,44.0,Fast site,342,way/402783212-275,275.0
469284,800.0,Ultra-rapid site,414,way/81098733-275,275.0
464404,200.0,Ultra-rapid site,235,way/212779654-275,275.0
462390,14.4,Slow site,542,way/1132374248,
462349,44.0,Fast site,542,way/1132374248,
462104,5.0,Slow site,260,way/23248656-275,275.0
461754,1600.0,Ultra-rapid site,338,way/371757485-275,275.0
461658,3000.0,Ultra-rapid site,92,relation/14921826-400,400.0
461097,88.0,Fast site,181,way/142185552-275,275.0
461096,88.0,Fast site,332,way/339008021-275,275.0
461095,720.0,Rapid site,219,way/166764802-275,275.0
461094,380.0,Ultra-rapid site,332,way/339008021-275,275.0
461093,22.0,Fast site,219,way/166764802-275,275.0
461089,122.1,Rapid site,245,way/230134599-275,275.0
461088,94.0,Fast site,342,way/402783212-275,275.0
461069,5.0,Slow site,542,way/1132374248,
460669,5.0,Slow site,330,way/32796576-400,400.0
460635,2000.0,Ultra-rapid site,448,way/91003253-400,400.0
460475,480.0,Rapid site,414,way/81098733-275,275.0
460456,1032.0,Ultra-rapid site,231,way/203880168-275,275.0
460455,1032.0,Ultra-rapid site,231,way/203880168-275,275.0
460454,1032.0,Ultra-rapid site,231,way/203880168-275,275.0
460396,44.0,Fast site,313,way/31015820-275,275.0
460394,4.0,Slow site,540,way/447748328,
460376,3.5,Slow site,542,way/1132374248,
460363,,Unknown,344,way/41710456-400,400.0
460351,100.0,Rapid site,504,way/1093736519,400.0
460349,88.0,Fast site,504,way/1093736519,400.0
460188,400.0,Ultra-rapid site,181,way/142185552-275,275.0
460064,1250.0,Ultra-rapid site,65,GB7-275,275.0
459890,14.0,Slow site,251,way/23164256-275,275.0
459868,1100.0,Ultra-rapid site,441,way/90099036-400,400.0
459857,2000.0,Ultra-rapid site,272,way/25422135-400,400.0
459397,44.0,Fast site,484,way/96630594-275,275.0
459309,3000.0,Ultra-rapid site,493,way/98899051-400,400.0
459016,2750.0,Ultra-rapid site,409,way/775577829-400,400.0
459015,143.0,Rapid site,426,way/87953830-400,400.0
458973,5.0,Slow site,354,way/447301159-400,400.0
313961,240.0,Rapid site,181,way/142185552-275,275.0
313960,240.0,Rapid site,181,way/142185552-275,275.0
313674,360.0,Rapid site,415,way/814351697-400,400.0
313335,94.0,Fast site,241,way/227767019-275,275.0
312996,2400.0,Ultra-rapid site,504,way/1093736519,400.0
312963,3.4,Slow site,542,way/1132374248,
312885,44.0,Fast site,426,way/87953830-400,400.0
312816,,Unknown,159,way/119616836-400,400.0
312815,1200.0,Ultra-rapid site,332,way/339008021-275,275.0
312732,100.0,Rapid site,480,way/95895489-400,400.0
312689,284.0,Rapid site,332,way/339008021-275,275.0
312688,110.0,Fast site,332,way/339008021-275,275.0
312377,1976.0,Ultra-rapid site,128,way/103915328-275,275.0
311909,,Unknown,286,way/26678829-400,400.0
311854,14.0,Slow site,181,way/142185552-275,275.0
311853,14.0,Slow site,181,way/142185552-275,275.0
311852,110.0,Fast site,198,way/148266260-275,275.0
311759,22.0,Fast site,332,way/339008021-275,275.0
311758,14.8,Slow site,332,way/339008021-275,275.0
311757,94.0,Fast site,544,way/264275258-275,
311717,143.0,Rapid site,67,GB72-400,400.0
311507,5.0,Slow site,540,way/447748328,
311506,5.0,Slow site,540,way/447748328,
311505,5.0,Slow site,540,way/447748328,
311404,3.0,Slow site,542,way/1132374248,
311388,1200.0,Ultra-rapid site,180,way/137050527-275,275.0
311303,240.0,Rapid site,332,way/339008021-275,275.0
311302,4000.0,Ultra-rapid site,80,relation/10377509-400,400.0
311279,2.3,Slow site,508,way/688025880,400.0
311249,2000.0,Ultra-rapid site,219,way/166764802-275,275.0
311248,1644.0,Ultra-rapid site,427,way/88287125-400,400.0
311209,2400.0,Ultra-rapid site,53,GB58-275,275.0
309456,44.0,Fast site,198,way/148266260-275,275.0
309455,22.0,Fast site,198,way/148266260-275,275.0
309454,22.0,Fast site,198,way/148266260-275,275.0
309453,22.0,Fast site,198,way/148266260-275,275.0
309452,22.0,Fast site,198,way/148266260-275,275.0
309451,22.0,Fast site,198,way/148266260-275,275.0
309450,22.0,Fast site,198,way/148266260-275,275.0
309447,21.0,Slow site,198,way/148266260-275,275.0
309446,31.0,Fast site,198,way/148266260-275,275.0
309433,55.0,Fast site,219,way/166764802-275,275.0
309432,22.0,Fast site,219,way/166764802-275,275.0
309431,44.0,Fast site,241,way/227767019-275,275.0
309430,46.0,Fast site,241,way/227767019-275,275.0
309248,2160.0,Ultra-rapid site,411,way/785730495-275,275.0
309234,5.0,Slow site,504,way/1093736519,400.0
309233,10.0,Slow site,330,way/32796576-400,400.0
309147,122.1,Rapid site,342,way/402783212-275,275.0
309144,600.0,Ultra-rapid site,441,way/90099036-400,400.0
309137,2500.0,Ultra-rapid site,181,way/142185552-275,275.0
309132,4900.0,Ultra-rapid site,241,way/227767019-275,275.0
309102,400.0,Rapid site,219,way/166764802-275,275.0
309002,93.0,Rapid site,219,way/166764802-275,275.0
309000,93.0,Rapid site,198,way/148266260-275,275.0
308966,110.0,Fast site,524,way/988844180,
308959,2400.0,Ultra-rapid site,49,GB54-400,400.0
308952,44.0,Fast site,421,way/86071326-400,400.0
308787,3.4,Slow site,542,way/1132374248,
308754,200.0,Rapid site,166,way/125860302-275,275.0
308749,44.0,Fast site,480,way/95895489-400,400.0
308737,3.0,Slow site,542,way/1132374248,
308735,100.0,Rapid site,426,way/87953830-400,400.0
308689,100.0,Rapid site,408,way/77065229-400,400.0
308666,142.0,Rapid site,480,way/95895489-400,400.0
308665,122.0,Rapid site,347,way/42800878-400,400.0
308664,700.0,Rapid site,347,way/42800878-400,400.0
308652,700.0,Rapid site,529,way/85644212,
308651,622.0,Rapid site,286,way/26678829-400,400.0
308628,352.0,Fast site,112,relation/9572254-400,400.0
308620,44.0,Fast site,480,way/95895489-400,400.0
308618,44.0,Fast site,480,way/95895489-400,400.0
308616,44.0,Fast site,185,way/142841192-400,400.0
308615,88.0,Fast site,112,relation/9572254-400,400.0
308614,122.0,Rapid site,112,relation/9572254-400,400.0
308612,14.0,Slow site,321,way/314338790-400,400.0
308485,500.0,Ultra-rapid site,156,way/119315534-275,275.0
308472,132.0,Fast site,59,GB63-400,400.0
308471,530.0,Ultra-rapid site,156,way/119315534-275,275.0
308461,43.0,Fast site,330,way/32796576-400,400.0
308459,122.0,Rapid site,277,way/25935453-400,400.0
308458,44.0,Fast site,330,way/32796576-400,400.0
308453,800.0,Ultra-rapid site,134,way/109073025-275,275.0
308452,950.0,Ultra-rapid site,215,way/166703764-275,275.0
308449,1250.0,Ultra-rapid site,91,relation/14921826-275,275.0
308448,44.0,Fast site,342,way/402783212-275,275.0
308161,44.0,Fast site,268,way/23988786-400,400.0
308038,1960.0,Ultra-rapid site,510,relation/9572717,
308037,1520.0,Ultra-rapid site,270,way/24165071-400,400.0
307999,1800.0,Ultra-rapid site,439,way/89699558-275,275.0
307982,2160.0,Ultra-rapid site,416,way/820229174-275,275.0
307884,1600.0,Ultra-rapid site,284,way/264104518-400,400.0
307858,100.0,Fast site,196,way/143905069-400,400.0
307733,2000.0,Ultra-rapid site,463,way/92460913-400,400.0
307728,2000.0,Ultra-rapid site,504,way/1093736519,400.0
307726,360.0,Ultra-rapid site,361,way/4797228-275,275.0
307715,950.0,Ultra-rapid site,134,way/109073025-275,275.0
307567,22.0,Fast site,292,way/280317944-400,400.0
307272,300.0,Ultra-rapid site,281,way/263863442-400,400.0
307238,422.0,Ultra-rapid site,189,way/143221984-275,275.0
