StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands,label,top_score,n_pois_in_radius,huff_score_work,huff_score_education,huff_score_shopping,huff_score_personal_business,huff_score_social,huff_score_leisure,huff_score_holiday
194240,53.47801089275606,-2.2286802122691824,,2442.0,Fast site,Fast (8–49kW),work,0.1586,409,0.1586,0.0092,0.0673,0.0506,0.0239,0.1499,0.015
194241,55.9525607158964,-3.183220654461365,,1848.0,Fast site,Fast (8–49kW),leisure,0.3429,970,0.1389,0.032,0.1838,0.1209,0.052,0.3429,0.0407
155229,56.00472,-3.75383,,1419.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.1134,31,0.0054,0.0,0.0,0.0104,0.0006,0.1134,0.0
256446,51.5775444344537,-0.2238245702821188,,1320.0,Fast site,Fast (8–49kW),shopping,0.1165,86,0.0017,0.0023,0.1165,0.0723,0.0,0.029,0.0
194034,51.45995564458485,-0.9706435926951826,,1106.0,Fast site,Slow (3–8kW),shopping,0.1149,377,0.112,0.0,0.1149,0.0507,0.0138,0.0552,0.0042
127713,52.554327,-1.466269,,1012.0,Fast site,Fast (8–49kW),work,0.0587,4,0.0587,0.0,0.0,0.0,0.0,0.0,0.0
210469,53.31647020657744,-3.493140175780809,,968.0,Fast site,Fast (8–49kW);Rapid (50–149kW),work,0.1147,417,0.1147,0.0033,0.1125,0.0369,0.0311,0.0921,0.0103
56968,56.13124,-3.96744,,767.0,Fast site,Fast (8–49kW);Rapid (50–149kW);Slow (3–8kW),work,0.0151,29,0.0151,0.0009,0.001,0.0035,0.0006,0.0085,0.0009
195309,55.857867,-4.291453,,616.0,Fast site,Fast (8–49kW),leisure,0.16,242,0.086,0.0,0.0012,0.0049,0.0024,0.16,0.012
85815,52.477187,-1.894936,,614.0,Fast site,Fast (8–49kW);Slow (3–8kW),shopping,2.3863,1055,0.0572,0.0051,2.3863,0.5157,0.0622,0.0718,0.0174
149541,52.15689993437161,-2.158879488885532,,572.0,Fast site,Fast (8–49kW),work,0.0122,7,0.0122,0.0037,0.0,0.0,0.0,0.0015,0.0
258906,52.886145,-2.172919,,542.0,Fast site,Fast (8–49kW);Rapid (50–149kW),personal_business,0.0825,12,0.0,0.0,0.016,0.0825,0.0,0.0062,0.0038
188935,52.61827428904297,1.217018412272182,,525.6,Fast site,Fast (8–49kW);Slow (3–8kW),leisure,0.0195,30,0.0043,0.0009,0.0026,0.01,0.0009,0.0195,0.0
94756,51.749353,-1.261703,,525.0,Fast site,Fast (8–49kW);Slow (3–8kW),shopping,0.8894,711,0.0767,0.1086,0.8894,0.4407,0.0521,0.1886,0.0126
195344,50.84361727,-0.12044482,,505.0,Fast site,Fast (8–49kW);Slow (3–8kW),leisure,0.3036,122,0.0124,0.0556,0.0173,0.0032,0.0033,0.3036,0.0
255998,51.79889252205086,-0.2056821791770744,,504.0,Fast site,Fast (8–49kW),shopping,0.0492,129,0.0106,0.0009,0.0492,0.0228,0.0106,0.0231,0.0
279552,51.7293959583171,-1.249414073683738,,440.0,Fast site,Fast (8–49kW),leisure,0.0521,36,0.0091,0.001,0.0017,0.0,0.0037,0.0521,0.0061
270945,54.57611288096236,-1.099406020486193,,440.0,Fast site,Fast (8–49kW),work,0.0099,2,0.0099,0.0,0.0,0.0,0.0,0.0,0.0
210322,50.35810873331823,-4.743859042823942,,440.0,Fast site,Fast (8–49kW),leisure,0.0666,28,0.0,0.0,0.0071,0.0036,0.0,0.0666,0.0023
136807,53.47393,-2.300544,,440.0,Fast site,Fast (8–49kW),leisure,0.1952,222,0.0725,0.0054,0.0403,0.0405,0.0065,0.1952,0.0156
52745,51.5093,-0.156662,,435.0,Fast site,Fast (8–49kW);Rapid (50–149kW);Slow (3–8kW),leisure,0.1293,267,0.0427,0.0017,0.0578,0.021,0.0016,0.1293,0.0116
95134,51.693553,-0.421345,,434.0,Fast site,Slow (3–8kW),work,0.0743,105,0.0743,0.0,0.0024,0.0033,0.0,0.0476,0.0015
258924,52.472057,-1.547602,,424.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.0627,25,0.009,0.0,0.0627,0.0501,0.0,0.0081,0.0022
31395,56.82154563224384,-5.103441611098958,,421.0,Fast site,Fast (8–49kW);Rapid (50–149kW);Slow (3–8kW),leisure,0.0477,89,0.009,0.0047,0.037,0.015,0.0131,0.0477,0.021
131673,55.9402999125108,-3.17104078769682,,396.0,Fast site,Fast (8–49kW),leisure,0.1828,256,0.0027,0.0037,0.0097,0.0108,0.0129,0.1828,0.008
195128,51.873328008635085,0.1605429885861462,,378.0,Fast site,Slow (3–8kW),shopping,0.318,404,0.0237,0.0,0.318,0.0537,0.0267,0.0477,0.0045
106786,51.5568993,-0.272324900000058,,371.0,Fast site,Slow (3–8kW),shopping,0.2033,20,0.1148,0.001,0.2033,0.0007,0.0,0.0124,0.0
195343,51.558581,-0.402542,,357.0,Fast site,Slow (3–8kW),work,0.1526,100,0.1526,0.0,0.0344,0.0115,0.0026,0.0385,0.001
308628,50.19181241759816,-5.4292564475707366,,352.0,Fast site,Fast (8–49kW),leisure,0.0664,40,0.0361,0.0,0.0,0.0,0.0033,0.0664,0.0
274067,50.52790375,-4.94891993,,352.0,Fast site,Fast (8–49kW);Slow (3–8kW),holiday,0.0127,9,0.0,0.0,0.0,0.0,0.0,0.0067,0.0127
205636,51.89712005943238,-1.14825875301824,,352.0,Fast site,Fast (8–49kW),shopping,0.1951,282,0.0781,0.0021,0.1951,0.0705,0.0282,0.079,0.0004
205620,51.78879044640848,-1.489337692041886,,352.0,Fast site,Fast (8–49kW),leisure,0.3995,799,0.0149,0.0053,0.0632,0.0278,0.0059,0.3995,0.0011
125470,51.7462438460996,-2.21899321045078,,352.0,Fast site,Fast (8–49kW),shopping,0.8544,360,0.083,0.0169,0.8544,0.2126,0.0277,0.0585,0.0049
24252,53.92318717242361,-1.0769444161198862,,352.0,Fast site,Fast (8–49kW),shopping,0.2961,124,0.0,0.0,0.2961,0.0405,0.0,0.0539,0.0
149367,51.55043708144424,-1.8500659981775696,,350.0,Fast site,Slow (3–8kW),leisure,0.4971,113,0.0485,0.0,0.0051,0.0031,0.0,0.4971,0.0026
209662,51.936641,-1.472494,,322.0,Fast site,Slow (3–8kW),leisure,0.0836,28,0.0,0.0,0.0,0.0,0.0,0.0836,0.0061
56876,51.576367,0.045394,,319.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.0719,68,0.0379,0.0,0.0537,0.0292,0.0046,0.0719,0.0
5474,52.63583,-1.13756,,300.0,Fast site,Slow (3–8kW),shopping,0.4389,668,0.15,0.0073,0.4389,0.4209,0.0972,0.1254,0.0195
126229,51.68978,-0.417351,,287.0,Fast site,Slow (3–8kW),leisure,0.1027,64,0.0313,0.0,0.0317,0.008,0.0,0.1027,0.0
258993,51.441585,-1.065328,,284.0,Fast site,Fast (8–49kW),work,0.0515,47,0.0515,0.0,0.0457,0.0083,0.0,0.0098,0.0
187810,51.592867,0.245586,,280.0,Fast site,Slow (3–8kW),social,0.0034,3,0.0006,0.0,0.0,0.0,0.0034,0.0005,0.0
136717,52.478035,-1.903558,,276.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.2349,761,0.1195,0.0046,0.2349,0.1724,0.0563,0.0842,0.0279
251009,51.262932,-1.085832,,275.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.4721,403,0.1011,0.0075,0.4721,0.1597,0.0847,0.068,0.0172
112816,55.86756,-4.25916,,275.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.1557,313,0.0419,0.0421,0.0919,0.0661,0.0273,0.1557,0.0202
167108,52.972984,-1.178559,,269.0,Fast site,Fast (8–49kW);Rapid (50–149kW);Slow (3–8kW),work,0.0359,109,0.0359,0.0007,0.0272,0.0036,0.0051,0.0175,0.0
191389,51.5402577,-2.4412307,,266.0,Fast site,Slow (3–8kW),leisure,0.0163,20,0.012,0.0,0.0069,0.0,0.0016,0.0163,0.0
91673,51.490217,0.023307,,266.0,Fast site,Slow (3–8kW),shopping,0.1653,378,0.0811,0.0,0.1653,0.0174,0.0008,0.1519,0.0
52516,51.500446459934,-0.425396114616994,,266.0,Fast site,Slow (3–8kW),shopping,0.0345,25,0.022,0.0,0.0345,0.0184,0.0009,0.0007,0.003
301905,52.90465506933688,-1.449052457672451,,264.0,Fast site,Fast (8–49kW),leisure,0.1994,105,0.0253,0.0012,0.0541,0.0072,0.0025,0.1994,0.0
299758,56.19239464586204,-3.001766625451296,,264.0,Fast site,Fast (8–49kW),leisure,0.0962,150,0.0122,0.0011,0.06,0.0155,0.0077,0.0962,0.0009
211294,52.4804349,-2.1130154,,264.0,Fast site,Fast (8–49kW),leisure,0.3762,454,0.0164,0.0052,0.3616,0.0738,0.0034,0.3762,0.0
210692,51.85952956482004,-2.252497881911495,,264.0,Fast site,Fast (8–49kW),shopping,1.469,268,0.055,0.0066,1.469,0.0832,0.0152,0.0507,0.0104
209804,51.746053926521625,-0.97908697882076,,264.0,Fast site,Fast (8–49kW),shopping,0.1176,112,0.014,0.0016,0.1176,0.0275,0.0065,0.0312,0.009
205611,51.75796536778181,-1.5951863389870629,,264.0,Fast site,Fast (8–49kW),shopping,0.097,82,0.0161,0.0027,0.097,0.0559,0.0319,0.052,0.0009
204770,51.94058758845858,-1.547606191109253,,264.0,Fast site,Fast (8–49kW),shopping,0.1105,126,0.0296,0.0023,0.1105,0.043,0.0245,0.0154,0.0053
193526,51.58658331904465,-1.4278424722360796,,264.0,Fast site,Fast (8–49kW),shopping,0.0975,219,0.0156,0.0862,0.0975,0.0794,0.0647,0.0936,0.0108
175609,51.89875229553789,-1.1478156583920054,,264.0,Fast site,Fast (8–49kW),shopping,0.0994,270,0.0693,0.0034,0.0994,0.0441,0.0119,0.0521,0.0005
19021,51.6191956275336,-0.301587581634521,,264.0,Fast site,Fast (8–49kW),leisure,0.0652,37,0.0004,0.0015,0.0066,0.0,0.0016,0.0652,0.0
19015,51.5746321,-0.37083419999999,,264.0,Fast site,Fast (8–49kW),shopping,0.3746,122,0.0514,0.002,0.3746,0.1471,0.005,0.0512,0.0
