StationID,Power_kW,Quantity,Capacity_kW,DfT_Band,Level,ConnectionType,CurrentType
4121,7.0,10,70.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4121,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4123,50.0,1,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
4123,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4124,50.0,1,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
4125,62.5,1,62.5,Rapid (50–149kW),Level 3:  High (Over 40kW),,
4125,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4126,50.0,1,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
4126,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4127,62.5,1,62.5,Rapid (50–149kW),Level 3:  High (Over 40kW),,
4127,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4128,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4129,62.5,1,62.5,Rapid (50–149kW),Level 3:  High (Over 40kW),,
4129,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4130,50.0,1,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
4130,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4131,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4132,50.0,1,50.0,Rapid (50–149kW),Level 2 : Medium (Over 2kW),,
4132,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4142,50.0,1,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
4142,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4355,50.0,1,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
4355,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4372,4.0,2,8.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4390,22.0,1,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
4390,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4390,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4399,4.0,2,8.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
4400,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
