ConnectorID,StationID,Latitude,Longitude,Power_kW,DfT_Band,Level,ConnectionType,CurrentType
conn_66449,796,57.142,-2.096,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66450,796,57.142,-2.096,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66451,796,57.142,-2.096,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66452,796,57.142,-2.096,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66453,796,57.142,-2.096,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66454,796,57.142,-2.096,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66455,796,57.142,-2.096,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66456,796,57.142,-2.096,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66457,796,57.142,-2.096,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66458,796,57.142,-2.096,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66459,796,57.142,-2.096,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66446,26217,55.875053,-3.173333,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_66447,26217,55.875053,-3.173333,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66448,26217,55.875053,-3.173333,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66445,26278,54.5718808033914,-5.96830897916788,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_66442,26207,53.747227,-2.672941,62.5,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_66443,26207,53.747227,-2.672941,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66444,26207,53.747227,-2.672941,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66439,26236,53.716684,-1.858056,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_66440,26236,53.716684,-1.858056,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66441,26236,53.716684,-1.858056,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66436,26206,53.473846457782045,-2.21687784921266,62.5,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_66437,26206,53.473846457782045,-2.21687784921266,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66438,26206,53.473846457782045,-2.21687784921266,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_66434,9801,53.408496,-2.149898,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
