StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands
1,53.47801089275606,-2.2286802122691824,,2442.0,Fast site,Fast (8–49kW)
2,55.9525607158964,-3.183220654461365,,1848.0,Fast site,Fast (8–49kW)
3,56.00472,-3.75383,,1419.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
4,51.5775444344537,-0.2238245702821188,,1320.0,Fast site,Fast (8–49kW)
5,51.45995564458485,-0.9706435926951826,,1106.0,Fast site,Slow (3–8kW)
6,52.554327,-1.466269,,1012.0,Fast site,Fast (8–49kW)
7,53.31647020657744,-3.493140175780809,,968.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
8,54.959505,-1.670352,,880.0,Fast site,Fast (8–49kW)
9,56.13124,-3.96744,,767.0,Fast site,Fast (8–49kW);Rapid (50–149kW);Slow (3–8kW)
10,55.857867,-4.291453,,616.0,Fast site,Fast (8–49kW)
11,52.477187,-1.894936,,614.0,Fast site,Fast (8–49kW);Slow (3–8kW)
12,52.15689993437161,-2.158879488885532,,572.0,Fast site,Fast (8–49kW)
13,52.886145,-2.172919,,542.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
14,52.61827428904297,1.217018412272182,,525.6,Fast site,Fast (8–49kW);Slow (3–8kW)
15,51.749353,-1.261703,,525.0,Fast site,Fast (8–49kW);Slow (3–8kW)
16,50.84361727,-0.12044482,,505.0,Fast site,Fast (8–49kW);Slow (3–8kW)
17,51.79889252205086,-0.2056821791770744,,504.0,Fast site,Fast (8–49kW)
18,54.954734897190974,-1.667523865657131,,472.0,Fast site,Fast (8–49kW);Slow (3–8kW)
19,51.7293959583171,-1.249414073683738,,440.0,Fast site,Fast (8–49kW)
20,54.57611288096236,-1.099406020486193,,440.0,Fast site,Fast (8–49kW)
21,50.35810873331823,-4.743859042823942,,440.0,Fast site,Fast (8–49kW)
22,53.47393,-2.300544,,440.0,Fast site,Fast (8–49kW)
23,51.5093,-0.156662,,435.0,Fast site,Fast (8–49kW);Rapid (50–149kW);Slow (3–8kW)
24,51.693553,-0.421345,,434.0,Fast site,Slow (3–8kW)
25,52.472057,-1.547602,,424.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
26,56.82154563224384,-5.103441611098958,,421.0,Fast site,Fast (8–49kW);Rapid (50–149kW);Slow (3–8kW)
27,55.9402999125108,-3.17104078769682,,396.0,Fast site,Fast (8–49kW)
28,51.873328008635085,0.1605429885861462,,378.0,Fast site,Slow (3–8kW)
29,51.5568993,-0.272324900000058,,371.0,Fast site,Slow (3–8kW)
30,51.558581,-0.402542,,357.0,Fast site,Slow (3–8kW)
31,50.19181241759816,-5.4292564475707366,,352.0,Fast site,Fast (8–49kW)
32,50.52790375,-4.94891993,,352.0,Fast site,Fast (8–49kW);Slow (3–8kW)
33,51.89712005943238,-1.14825875301824,,352.0,Fast site,Fast (8–49kW)
34,51.78879044640848,-1.489337692041886,,352.0,Fast site,Fast (8–49kW)
35,51.7462438460996,-2.21899321045078,,352.0,Fast site,Fast (8–49kW)
36,53.92318717242361,-1.0769444161198862,,352.0,Fast site,Fast (8–49kW)
37,51.55043708144424,-1.8500659981775696,,350.0,Fast site,Slow (3–8kW)
38,51.936641,-1.472494,,322.0,Fast site,Slow (3–8kW)
39,51.576367,0.045394,,319.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
40,54.95617326631253,-1.671743886726972,,308.0,Fast site,Fast (8–49kW)
41,52.63583,-1.13756,,300.0,Fast site,Slow (3–8kW)
42,51.68978,-0.417351,,287.0,Fast site,Slow (3–8kW)
43,51.441585,-1.065328,,284.0,Fast site,Fast (8–49kW)
44,51.592867,0.245586,,280.0,Fast site,Slow (3–8kW)
45,52.478035,-1.903558,,276.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
46,51.262932,-1.085832,,275.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
47,55.86756,-4.25916,,275.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
48,52.972984,-1.178559,,269.0,Fast site,Fast (8–49kW);Rapid (50–149kW);Slow (3–8kW)
49,51.5402577,-2.4412307,,266.0,Fast site,Slow (3–8kW)
50,51.490217,0.023307,,266.0,Fast site,Slow (3–8kW)
51,51.500446459934,-0.425396114616994,,266.0,Fast site,Slow (3–8kW)
52,52.90465506933688,-1.449052457672451,,264.0,Fast site,Fast (8–49kW)
53,56.19239464586204,-3.001766625451296,,264.0,Fast site,Fast (8–49kW)
54,52.4804349,-2.1130154,,264.0,Fast site,Fast (8–49kW)
55,51.85952956482004,-2.252497881911495,,264.0,Fast site,Fast (8–49kW)
56,51.746053926521625,-0.97908697882076,,264.0,Fast site,Fast (8–49kW)
57,51.75796536778181,-1.5951863389870629,,264.0,Fast site,Fast (8–49kW)
58,51.94058758845858,-1.547606191109253,,264.0,Fast site,Fast (8–49kW)
59,51.58658331904465,-1.4278424722360796,,264.0,Fast site,Fast (8–49kW)
60,51.89875229553789,-1.1478156583920054,,264.0,Fast site,Fast (8–49kW)
61,51.6191956275336,-0.301587581634521,,264.0,Fast site,Fast (8–49kW)
62,51.5746321,-0.37083419999999,,264.0,Fast site,Fast (8–49kW)
63,51.71408469223556,-1.971489633455576,,254.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
64,54.61320888182093,-5.872115059551163,,252.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
65,51.37503737,-0.41071221,,252.0,Fast site,Slow (3–8kW)
66,51.80326431550054,-0.2040976715819908,,252.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
67,51.481662,-0.128213,,252.0,Fast site,Slow (3–8kW)
68,52.414035,-1.883844,,251.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
69,54.5570854633319,-1.27525178903352,,246.0,Fast site,Fast (8–49kW);Slow (3–8kW)
70,51.481306,-0.461553,,245.0,Fast site,Slow (3–8kW)
