RowID,StationID,Latitude,Longitude,Capacity_kW,Quantity,Level_OCM,DfT_Level
1,478722,51.96153308347769,-0.5122545197322097,250.0,24,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
2,478135,51.49298766286509,-0.17290823799623922,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
3,477302,34.458374996988454,51.08937335357666,60.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
4,477302,34.458374996988454,51.08937335357666,60.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5,474932,54.67121353226352,-5.981142556497048,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
6,474931,54.444585406353156,-6.393026163231298,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
7,474298,53.47114597924079,-2.6648423970650583,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
8,474298,53.47114597924079,-2.6648423970650583,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
9,474298,53.47114597924079,-2.6648423970650583,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
10,474298,53.47114597924079,-2.6648423970650583,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
11,474297,53.47182891189797,-2.665048238266081,300.0,6,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
12,474297,53.47182891189797,-2.665048238266081,50.0,2,Level 1 : Low (Under 2kW),Rapid (50–149kW)
13,473101,51.371708690138576,-0.11695508554043954,250.0,20,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
14,472908,53.36645298235197,-2.2697994177467535,11.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
15,472220,54.58683597868861,-5.926869327870463,50.0,4,Level 3:  High (Over 40kW),Rapid (50–149kW)
16,471954,54.50945295333054,-6.768056833638639,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
17,471953,54.350643879294125,-6.641786641461749,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
18,471952,54.34997111710044,-6.642683607015442,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
19,471951,54.43568919930152,-6.411356752430379,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
20,471950,54.4330892445478,-6.4102231450829095,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
21,471949,54.456607733948886,-6.338348981430272,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
22,471948,54.23606781075165,-6.162224152562885,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
23,471778,54.65864396621339,-5.728150534193105,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
24,471132,-16.663931,-49.233639,120.0,2,Level 3:  High (Over 40kW),Rapid (50–149kW)
25,471083,51.4781406313864,-1.55327402795323,120.0,2,Level 2 : Medium (Over 2kW),Rapid (50–149kW)
26,471082,53.715887,-1.382661,120.0,2,Level 2 : Medium (Over 2kW),Rapid (50–149kW)
27,471038,54.59781838901711,-5.9247848069618385,7.36,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
28,471038,54.59781838901711,-5.9247848069618385,22.08,10,Level 2 : Medium (Over 2kW),Fast (8–49kW)
29,471030,54.60587197968522,-5.921836948395139,7.0,1,Level 2 : Medium (Over 2kW),Slow (3–8kW)
30,471029,54.675022586035794,-5.987164482465687,120.0,2,Level 3:  High (Over 40kW),Rapid (50–149kW)
31,471004,54.62236763089928,-5.971848558243892,60.0,2,Level 3:  High (Over 40kW),Rapid (50–149kW)
32,471004,54.62236763089928,-5.971848558243892,22.1,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
33,471004,54.62236763089928,-5.971848558243892,14.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
34,470882,51.190412742455436,-1.8997977815572824,6.6,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
35,470819,51.43622617337121,0.3269440700020141,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
36,470819,51.43622617337121,0.3269440700020141,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
